user,target_frr,variant,selected_threshold,ema_alpha,primary_interval_sec,secondary_time_sec,validation_outputs,validation_genuine_outputs,validation_impostor_outputs,validation_frr,validation_far,outputs,genuine_outputs,impostor_outputs,frr_false_reject_rate,far_false_accept_rate,impostor_reject_rate,err,genuine_first_reject_sessions,impostor_first_reject_sessions,genuine_mean_first_reject_sec,impostor_mean_first_reject_sec
SABwzzvhSEzsTNLmScnCtxJFVc2032FbpeHuHCai4MY=,0.05,一次迟滞 EMA,-1.8425894975662231,0.9,1.0,1.0,2721.0,1361.0,1360.0,0.04996326230712711,0.9669117647058824,2728.0,1368.0,1360.0,0.011695906432748537,0.9669117647058824,0.03308823529411765,0.4879032258064516,2.0,5.0,248.5,4.2
SABwzzvhSEzsTNLmScnCtxJFVc2032FbpeHuHCai4MY=,0.05,二次迟滞 EMA+EMA,-0.18114584684371948,0.9,1.0,10.0,251.0,131.0,120.0,0.04580152671755725,0.5583333333333333,256.0,136.0,120.0,0.08088235294117647,0.5583333333333333,0.44166666666666665,0.3046875,2.0,13.0,370.0,18.46153846153846
SABwzzvhSEzsTNLmScnCtxJFVc2032FbpeHuHCai4MY=,0.05,二次迟滞 EMA+vote 8/10,-0.17914755642414093,0.9,1.0,10.0,251.0,131.0,120.0,0.03816793893129771,0.5416666666666666,256.0,136.0,120.0,0.07352941176470588,0.5416666666666666,0.4583333333333333,0.29296875,2.0,13.0,480.0,16.923076923076923
SABwzzvhSEzsTNLmScnCtxJFVc2032FbpeHuHCai4MY=,0.1,一次迟滞 EMA,-0.2803725600242615,0.9,1.0,1.0,2721.0,1361.0,1360.0,0.09919177075679647,0.6536764705882353,2728.0,1368.0,1360.0,0.15862573099415206,0.6536764705882353,0.3463235294117647,0.40542521994134895,2.0,19.0,8.5,9.631578947368421
SABwzzvhSEzsTNLmScnCtxJFVc2032FbpeHuHCai4MY=,0.1,二次迟滞 EMA+EMA,-0.0799068734049797,0.9,1.0,10.0,251.0,131.0,120.0,0.0916030534351145,0.2916666666666667,256.0,136.0,120.0,0.19117647058823528,0.2916666666666667,0.7083333333333334,0.23828125,2.0,18.0,235.0,12.777777777777779
SABwzzvhSEzsTNLmScnCtxJFVc2032FbpeHuHCai4MY=,0.1,二次迟滞 EMA+vote 8/10,-0.05071626976132393,0.9,1.0,10.0,251.0,131.0,120.0,0.0916030534351145,0.10833333333333334,256.0,136.0,120.0,0.25735294117647056,0.10833333333333334,0.8916666666666667,0.1875,2.0,18.0,235.0,10.555555555555555
SABwzzvhSEzsTNLmScnCtxJFVc2032FbpeHuHCai4MY=,0.15,一次迟滞 EMA,-0.16443461179733276,0.9,1.0,1.0,2721.0,1361.0,1360.0,0.14988978692138133,0.43970588235294117,2728.0,1368.0,1360.0,0.22660818713450293,0.43970588235294117,0.5602941176470588,0.33284457478005863,2.0,19.0,7.0,5.052631578947368
SABwzzvhSEzsTNLmScnCtxJFVc2032FbpeHuHCai4MY=,0.15,二次迟滞 EMA+EMA,-0.04532243683934212,0.9,1.0,10.0,251.0,131.0,120.0,0.1450381679389313,0.10833333333333334,256.0,136.0,120.0,0.2426470588235294,0.10833333333333334,0.8916666666666667,0.1796875,2.0,19.0,230.0,11.052631578947368
SABwzzvhSEzsTNLmScnCtxJFVc2032FbpeHuHCai4MY=,0.15,二次迟滞 EMA+vote 8/10,-0.03858526051044464,0.9,1.0,10.0,251.0,131.0,120.0,0.1450381679389313,0.008333333333333333,256.0,136.0,120.0,0.33088235294117646,0.008333333333333333,0.9916666666666667,0.1796875,2.0,20.0,200.0,10.0
SABwzzvhSEzsTNLmScnCtxJFVc2032FbpeHuHCai4MY=,0.2,一次迟滞 EMA,-0.09228161722421646,0.9,1.0,1.0,2721.0,1361.0,1360.0,0.19985304922850844,0.2426470588235294,2728.0,1368.0,1360.0,0.32894736842105265,0.2426470588235294,0.7573529411764706,0.2859237536656892,2.0,20.0,6.5,3.75
SABwzzvhSEzsTNLmScnCtxJFVc2032FbpeHuHCai4MY=,0.2,二次迟滞 EMA+EMA,-0.03588734194636345,0.9,1.0,10.0,251.0,131.0,120.0,0.1984732824427481,0.0,256.0,136.0,120.0,0.29411764705882354,0.0,1.0,0.15625,2.0,20.0,200.0,10.0
SABwzzvhSEzsTNLmScnCtxJFVc2032FbpeHuHCai4MY=,0.2,二次迟滞 EMA+vote 8/10,-0.03588734194636345,0.9,1.0,10.0,251.0,131.0,120.0,0.1984732824427481,0.008333333333333333,256.0,136.0,120.0,0.3602941176470588,0.008333333333333333,0.9916666666666667,0.1953125,2.0,20.0,20.0,10.0
ALL_WEIGHTED,0.05,一次迟滞 EMA,,,,,10154.0,5094.0,5060.0,0.049666274047899486,0.5594861660079051,10157.0,5097.0,5060.0,0.04237786933490288,0.5594861660079051,0.44051383399209487,0.2999901545732008,15.0,43.0,191.02777777777774,3.918518518518519
ALL_WEIGHTED,0.05,二次迟滞 EMA+EMA,,,,,959.0,499.0,460.0,0.04609218436873747,0.5,958.0,498.0,460.0,0.030120481927710843,0.5,0.5,0.255741127348643,3.0,41.0,480.0,18.028846153846153
ALL_WEIGHTED,0.05,二次迟滞 EMA+vote 8/10,,,,,959.0,499.0,460.0,0.04408817635270541,0.4891304347826087,958.0,498.0,460.0,0.028112449799196786,0.4891304347826087,0.5108695652173914,0.24947807933194155,3.0,41.0,535.0,19.865624571506924
ALL_WEIGHTED,0.1,一次迟滞 EMA,,,,,10154.0,5094.0,5060.0,0.09952885747938751,0.4527667984189723,10157.0,5097.0,5060.0,0.08534432018834609,0.4527667984189723,0.5472332015810276,0.26838633454760263,15.0,59.0,110.83333333333333,6.727192982456141
ALL_WEIGHTED,0.1,二次迟滞 EMA+EMA,,,,,959.0,499.0,460.0,0.09619238476953908,0.27608695652173915,958.0,498.0,460.0,0.07429718875502007,0.27608695652173915,0.7239130434782609,0.17118997912317327,7.0,54.0,290.0,12.967592592592593
ALL_WEIGHTED,0.1,二次迟滞 EMA+vote 8/10,,,,,959.0,499.0,460.0,0.09619238476953908,0.22391304347826088,958.0,498.0,460.0,0.08433734939759036,0.22391304347826088,0.7760869565217391,0.151356993736952,5.0,54.0,286.6666666666667,14.282192409127395
ALL_WEIGHTED,0.15,一次迟滞 EMA,,,,,10154.0,5094.0,5060.0,0.1497840596780526,0.33280632411067196,10157.0,5097.0,5060.0,0.11948204826368453,0.33280632411067196,0.6671936758893281,0.22575563650684258,17.0,59.0,8.047619047619047,3.534210526315789
ALL_WEIGHTED,0.15,二次迟滞 EMA+EMA,,,,,959.0,499.0,460.0,0.1462925851703407,0.18695652173913044,958.0,498.0,460.0,0.09437751004016064,0.18695652173913044,0.8130434782608695,0.13883089770354906,8.0,55.0,294.0,12.225877192982457
ALL_WEIGHTED,0.15,二次迟滞 EMA+vote 8/10,,,,,959.0,499.0,460.0,0.1462925851703407,0.1565217391304348,958.0,498.0,460.0,0.12248995983935743,0.1565217391304348,0.8434782608695652,0.13883089770354906,7.0,57.0,282.5,13.92156862745098
ALL_WEIGHTED,0.2,一次迟滞 EMA,,,,,10154.0,5094.0,5060.0,0.19984295249312917,0.2189723320158103,10157.0,5097.0,5060.0,0.16048656072199333,0.2189723320158103,0.7810276679841898,0.18962292015358867,19.0,60.0,6.9375,2.4833333333333334
ALL_WEIGHTED,0.2,二次迟滞 EMA+EMA,,,,,959.0,499.0,460.0,0.19839679358717435,0.15217391304347827,958.0,498.0,460.0,0.12248995983935743,0.15217391304347827,0.8478260869565217,0.13674321503131523,10.0,57.0,280.95238095238096,12.745098039215685
ALL_WEIGHTED,0.2,二次迟滞 EMA+vote 8/10,,,,,959.0,499.0,460.0,0.19839679358717435,0.14782608695652175,958.0,498.0,460.0,0.15261044176706828,0.14782608695652175,0.8521739130434782,0.15031315240083507,10.0,58.0,218.57142857142856,14.629629629629628
